OID_,AddNum_Pre,Add_Number,AddNum_Suf,AddNo_Full,St_PreMod,St_PreDir,St_PreTyp,St_PreSep,St_Name,St_PosTyp,St_PosDir,St_PosMod,StNam_Full,Building,Floor,Unit,Room,Seat,Addtl_Loc,SubAddress,LandmkName,County,Inc_Muni,Post_City,Census_Plc,Uninc_Comm,Nbrhd_Comm,NatAmArea,NatAmSub,Urbnztn_PR,PlaceOther,PlaceNmTyp,State,Zip_Code,Plus_4,UUID,AddAuth,AddrRefSys,Longitude,Latitude,NatGrid,Elevation,Placement,AddrPoint,Related_ID,RelateType,ParcelSrc,Parcel_ID,AddrClass,Lifecycle,Effective,Expire,DateUpdate,AnomStatus,LocatnDesc,Addr_Type,DeliverTyp,NAD_Source,DataSet_ID
10836246,,1445,,1445,,,,,GREENS,Court,,,GREENS Court,,,,,,,,,DuPage,GLENDALE HEIGHTS,Glendale Heights,,,,,,,,,IL,60139,,{0548B488-C7F8-42F0-908D-E32BF035403B},Reserved for future use,,-88.097415458107534,41.912128461152200,16TDM0898940602,,Unknown,-88.09741545810753 41.9121284611522,,,,,Numbered Thoroughfare Address,,,,7/17/2023 13:15:36,,,Unknown,,State of Illinois,{0548b488-c7f8-42f0-908d-e32bf035403b}
81005850,,14,,14,,,,,HASTINGS,Court,,,HASTINGS Court,,,,,,,,,St. Charles,Unincorporated,ST CHARLES,,,,,,,,,MO,63301,,{03439EBF-878E-4971-806C-1123013BFC15},,,-90.516439563452238,38.813053700790007,15SYC1563598961,,Property Access,-90.51643956345224 38.81305370079001,,,,,Numbered Thoroughfare Address,,,,3/13/2024 0:00:00,,,Unknown,,St Charles County Missouri,{03439EBF-878E-4971-806C-1123013BFC15}
61800577,,4601,17,4601 17,,West,,,POWERHOUSE,Road,,,West POWERHOUSE Road,,,,,,,,,Yakima,YAKIMA,Not stated,,,,,,,,,WA,98908,,{6C439A7B-EBD8-41D8-B873-F76F04064A15},yakimawa.gov,,-120.571858162999945,46.623184234000064,10TFS8589166155,,Unknown,-120.57185816299994 46.623184234000064,,,,,Numbered Thoroughfare Address,,,,6/16/2021 0:29:34,,,1,,State of Washington,SSAP_22180@yakima911.org
37541205,,520,,520,,East,,,Plum,Street,,,East Plum Street,,,,,,,,,Cumberland,"Cumberland, Vineland",Vineland,,,,,,,,,NJ,08360,3707,{D98A868E-6FC2-4AD4-8CC1-84A85BEA32FB},NJ Office of GIS,,-75.024541581269105,39.488412665989301,18SVJ9788970978,,Structure - Rooftop,-75.0245415812691 39.4884126659893,,,,cfd949c3-407f-4410-a2fe-5780b8eadc97,Numbered Thoroughfare Address,,,,1/10/2022 23:36:51,,,Residence,,State of New Jersey,65c5ed03-b62a-4e83-aafa-c86a18d61bb7
39388064,,9927,,9927,,,,,CERRO LARGO,Place,Northwest,,CERRO LARGO Place Northwest,,,,,,,,,Bernalillo,Unincorporated,ALBUQUERQUE,,ALBUQUERQUE,,,,,,,NM,87114,,{CD74D49E-3A71-4233-A18E-ACC28ABBA2DB},Bernalillo County,,-106.747162737902912,35.193122403657227,13SCU4093595857,,Unknown,-106.74716273790291 35.19312240365723,,,,,Numbered Thoroughfare Address,,8/19/2024 0:00:00,,8/20/2024 0:00:00,N,,Unknown,,University of New Mexico EDAC,{cd74d49e-3a71-4233-a18e-acc28abba2db}
84846343,,11421,,11421,,North,,,Oriole,Lane,,,North Oriole Lane,,,,,,,,,Ozaukee,Unincorporated,MEQUON,,,,,,,,,WI,53092,3205,{D613E9B3-9652-45EE-AF24-386679F4F059},cpearson@co.ozaukee.wi.us,,-87.933978400000001,43.225899159999997,16TDN2415286324,,Unknown,-87.9339784 43.22589916,,,,,Numbered Thoroughfare Address,,,,7/11/2018 16:12:34,,,Unknown,,State of Wisconsin,834810
53057583,,3120,,3120,,,,,KNOB CREEK,Road,,,KNOB CREEK Road,,,,,,,,,Maury,Unincorporated,COLUMBIA,,,,,,,,,TN,38401,,{A13D1ABE-F576-4492-B31E-97B3F1DFC72B},MAURY 911,,-87.045571254854366,35.770203170080848,16SDE9588058462,,Unknown,-87.04557125485437 35.77020317008085,,,,,Numbered Thoroughfare Address,,7/13/2015 12:03:51,,8/24/2018 11:49:10,,,Unknown,,TN STS GIS Services,MAURY_42770
80104720,,1621,,1621,,,,,2nd,Street,Northwest,,2nd Street Northwest,,,,,,,,,Jefferson,Unincorporated,Not stated,,Center Point Fire Department,,,,,,,AL,,,{D31875DF-D511-4722-9FF5-FA662CB2645D},,,-86.687541300567091,33.628564375129599,16SEC2897921016,,Unknown,-86.68754130056709 33.6285643751296,,,,,Numbered Thoroughfare Address,,,,9/28/2022 14:28:26,,,Unknown,,Alabama 911 Board,{D31875DF-D511-4722-9FF5-FA662CB2645D}
8858005,,715,,715,,North,,,WEST,Street,,,North WEST Street,,,,,,,,,Richland,OLNEY,Olney,,,,,,,,,IL,62450,,{787327BB-61F3-4105-82D0-100E830E34E3},RESERVED FOR FUTURE USE,,-88.095283486443748,38.742457898866590,16SDH0481388766,0,Unknown,-88.09528348644375 38.74245789886659 0,,,,,Numbered Thoroughfare Address,,,,7/30/2021 0:00:00,,,Unknown,,State of Illinois,{787327bb-61f3-4105-82d0-100e830e34e3}
39775029,,1132,,1132,,,,,Broadway,,,,Broadway,,,,,,,,,Chemung,Southport,Elmira,Southport CDP,Southport,,,,,,,NY,14904,,{0274AFC9-6129-4668-9356-32591542FCCF},911 Addressing Authority,,-76.818750062999982,42.058787865000056,18TUM4951157903,,Structure - Rooftop,-76.81875006299998 42.058787865000056,,,,,Numbered Thoroughfare Address,Active,,,4/5/2023 13:08:39,,,Unknown,,New York State Geospatial Services,CHEM005526
81199207,,32,,32,,,,,BLUEBIRD,Way,,,BLUEBIRD Way,,,UNIT 2,,,,UNIT 2,,Stone,Unincorporated,INDIAN POINT,,,,,,,,,MO,65616,,{DFE52E2F-FAC7-434B-949F-12CC54122262},,,-93.349847421721734,36.661500704259161,15SVA6873457379,,Structure - Interior,-93.34984742172173 36.66150070425916,,,,,Numbered Thoroughfare Address,,,,3/13/2024 0:00:00,,,Unknown,,Stone County Missouri,{DFE52E2F-FAC7-434B-949F-12CC54122262}
3643992,,7321,,7321,,South,,,PLATTE RIVER,Parkway,,,South PLATTE RIVER Parkway,BLDG 3,,APT 302,,,,BLDG 3 APT 302,,Arapahoe,LITTLETON,Not stated,,,,,,,,,CO,80120,,{042E36FB-634E-4A49-A206-40593A37A738},,,-105.028105178746998,39.585726466654400,13SDD9758681778,,,-105.028105178747 39.5857264666544,,,,,Numbered Thoroughfare Address,,,,5/1/2022 0:00:00,,,Unknown,,Colorado OIT GIS,288784
23679342,,24,,24,,,,,QUAKER,Lane,,,QUAKER Lane,,,,,,,,COUNTRY RIDGES ESTATES,Barnstable,BOURNE,Not stated,,BOURNE,,,,,,,MA,02532,,{8AD0EFC5-4F4D-F4D5-7AE0-03FAA16683D2},BOURNE,UNINC_COMM,-70.592640401999972,41.722118566000063,19TCG6752720149,,Structure - Rooftop,-70.59264040199997 41.72211856600006,,,,,Numbered Thoroughfare Address,,,,7/29/2024 0:00:00,,,EDUCATIONAL,,MASSGIS Massachusetts,{8AD0EFC5-4F4D-F4D5-7AE0-03FAA16683D2}
12543464,,1324,,1324,,,County Road,,740,,East,,County Road 740 East,,,,,,,,,Wayne,UNINCORPORATED,JOHNSONVILLE,,,,,,,,,IL,62850,,{02E25FD9-E538-45D5-B6FB-7E8168352EB9},Reserved for future use,,-88.563425363743363,38.449992166746625,16SCH6357456902,,Unknown,-88.56342536374336 38.449992166746625,,,,,Numbered Thoroughfare Address,,,,9/16/2020 0:00:00,,,Unknown,,State of Illinois,{02e25fd9-e538-45d5-b6fb-7e8168352eb9}
52611930,,6558,,6558,,,,,JACK,Cove,,,JACK Cove,,,,,,,,,Shelby,Millington,MILLINGTON,,,,,,,,,TN,38053,8194,{AD5C96B9-D008-416B-A2BF-061D5AC04110},MLGW,,-89.915966918928930,35.304933197107381,16SBE3486510760,,Unknown,-89.91596691892893 35.30493319710738,,,,,Numbered Thoroughfare Address,,6/17/2013 0:00:00,,12/14/2015 15:49:49,,,Unknown,,TN STS GIS Services,SHELBY_794117
72277684,,11007,,11007,,,,,NORTHAM,Drive,,,NORTHAM Drive,,,,,,,,,Harris,Unincorporated,TOMBALL,,,,,,,,,TX,77375,,{04BFF2AE-3714-4E0B-B250-BCC79FD00CCC},COH,,-95.585948254999948,30.037251947000073,15RTP5064125731,,Unknown,-95.58594825499995 30.037251947000073,,,,,Numbered Thoroughfare Address,,,,7/22/2024 0:00:00,,,Unknown,,State of Texas,{04bff2ae-3714-4e0b-b250-bcc79fd00ccc}
31655039,,148,,148,,,,,LONG POND,Drive,,,LONG POND Drive,,,,,,,,,Iredell,Unincorporated,STATESVILLE,,,,,,,,,NC,28625,,{E699EF47-1A00-43A9-81A3-931AED54A701},,,-80.748230115738110,35.825224184761531,17SNV2274164592,,Unknown,-80.74823011573811 35.82522418476153,,,,,Numbered Thoroughfare Address,,1/17/2025 10:22:16,,1/17/2025 10:22:16,,,Unknown,,State of North Carolina,SSAP_75914@irdlncec1.iredell.nc.us
46295023,,389,,389,,,,,VALINDA,Place,,,VALINDA Place,,,1,,,,1,,Summit,Unincorporated,Akron,,Akron,,,,,,Village,OH,44304,,{B346B8BA-7EFD-41B4-976E-E3B4DBDAA3E1},0,,-81.505586446724607,41.079754325130182,17TMF5753047733,,Unknown,-81.5055864467246 41.07975432513018,,,,,Numbered Thoroughfare Address,,,,3/30/2025 0:00:00,,,Duplex,,State of Ohio,{b346b8ba-7efd-41b4-976e-e3b4dbdaa3e1}
53313610,,2146,,2146,,,,,FOSTER,Circle,,,FOSTER Circle,,,,,,,,,Putnam,Unincorporated,COOKEVILLE,,,,,,,,,TN,38501,,{9A7DB845-507F-4C34-BF19-90E0A811B844},PUTNAM COUNTY 911,,-85.544404084494872,36.205793334832784,16SFF3085107756,,Unknown,-85.54440408449487 36.205793334832784,,,,,Numbered Thoroughfare Address,,2/8/2014 0:00:00,,11/10/2016 11:29:50,,,Unknown,,TN STS GIS Services,PUTNAM_27136
43440329,,1088,,1088,,,,,Manor,Lane,,,Manor Lane,,,,,,,,,Suffolk,Islip,Bay Shore,West Bay Shore CDP,West Bay Shore,,,,,,,NY,11706,,{10B82A9B-A732-478E-A502-3F8BA20F565E},911 Addressing Authority,,-73.280093516999955,40.724464879000038,18TXL4525009593,,Structure - Rooftop,-73.28009351699995 40.72446487900004,,,,,Numbered Thoroughfare Address,Active,,,4/22/2025 0:00:00,,,Unknown,,New York State Geospatial Services,SUFF365937
13508405,,2640,,2640,,,,,27TH,Street,,,27TH Street,,,,,,,,,Rock Island,ROCK ISLAND,ROCK ISLAND,,,,,,,,,IL,61201,,{86C2EE61-8947-41E5-B7ED-8948755FD240},rico911.org,,-90.563011499233028,41.483109866084419,15TYF0345895256,,Unknown,-90.56301149923303 41.48310986608442,,,,,Numbered Thoroughfare Address,,,,4/29/2020 17:04:57,,,Unknown,,State of Illinois,{86c2ee61-8947-41e5-b7ed-8948755fd240}
3882770,,611,,611,,,,,WASHINGTON,Avenue,,,WASHINGTON Avenue,,,,,,,,,Boulder,Unincorporated,Not stated,Eldora CDP,,,,,,,,CO,80466,,{3AE819AA-8091-4DAF-AF99-E786525D0B3C},,,-105.570037966453000,39.950762582028901,13SDE5130622447,,Unknown,-105.570037966453 39.9507625820289,,,,,Numbered Thoroughfare Address,,,,5/1/2022 0:00:00,,,Unknown,,Colorado OIT GIS,527562
23871853,,107,,107,,,,,Water,Street,,,Water Street,,,,,,,,,Frederick,Unincorporated,Thurmont,,,,,,,,,MD,21788,,{9899277B-C5F7-4B60-BA9C-D7CAE77858D1},,,-77.411561992347018,39.621262950675941,18STJ9300588501,,Unknown,-77.41156199234702 39.62126295067594,,,,,Numbered Thoroughfare Address,,,,2/14/2024 0:00:00,,,Unknown,,Maryland Department of Information Technology,512351
60520030,,2037,,2037,,West,,,BAKERVIEW,Road,,,West BAKERVIEW Road,,,,,,,,,Whatcom,Unincorporated,Bellingham,,,,,,,,,WA,98226,,{AECFF082-06FE-4493-84E8-FC678FD19754},cob.org,,-122.534202680999954,48.790471763000028,10UEV3421204268,,Unknown,-122.53420268099995 48.79047176300003,,,,,Numbered Thoroughfare Address,,,,11/4/2016 22:57:23,,,Unknown,,State of Washington,urn:emergency:uid:gis:SSAP:{28A22CA2-6FD2-4017-A9E
29481330,,613,,613,,,,,SILVERSMITH,Lane,,,SILVERSMITH Lane,,,,,,,,,Mecklenburg,CHARLOTTE,CHARLOTTE,,,,,,,,,NC,28270,,{EFB0424B-A5D4-4428-9275-3E1A453DF2D0},,,-80.748483516599293,35.116925401975607,17SNU2291886038,,Unknown,-80.7484835165993 35.11692540197561,,,,,Numbered Thoroughfare Address,,6/1/2009 0:00:00,12/31/9999 0:00:00,5/5/2020 17:56:00,,,Unknown,,State of North Carolina,SSAP_162683@mecknc.gov
86270620,,308,,308,,,,,CRICKETWOOD,Court,,,CRICKETWOOD Court,,,,,,,,,Washington,NORTH STRABANE TOWNSHIP,CANONSBURG,,,,,,,,,PA,15317,,{8A81BCB9-916E-43C2-A523-3F2725F2BB4B},co.washington.pa.us,,-80.144687097287346,40.260518793537265,17TNE7273157023,987,Unknown,-80.14468709728735 40.260518793537265 987.38000488,,,,,Numbered Thoroughfare Address,,,,2/14/2024 0:00:00,,,Unknown,,Washington County Pennsylvania,SSAP_co.washington.pa.us_056175
41813104,,1400,,1400,,,,,Crescent Vischer Ferry,Road,,,Crescent Vischer Ferry Road,Apartment 124,,Apartment 124,,,,Apartment 124 Apartment 124,,Saratoga,Halfmoon,Clifton Park,,,,,,,,,NY,12065,,{3B8ADCC1-5E36-404B-B045-406EC19F4E4F},911 Addressing Authority,,-73.742109425999956,42.820638112000040,18TXN0282641664,,Structure - Rooftop,-73.74210942599996 42.82063811200004,,,,,Numbered Thoroughfare Address,Active,,,10/25/2019 9:41:03,,,Unknown,,New York State Geospatial Services,SARA146961
18645353,,4,,4,,,,,QUAIL RIDGE,Court,,,QUAIL RIDGE Court,,2,D,,,,2 D,QUAIL RIDGE,Daviess,Owensboro,Not stated,,,,,,,,,KY,42303,,{1914C19F-5A3B-44C9-BEA2-CEC99981C43D},police.owensboro.org,,-87.098776139592232,37.734720428411727,16SDG9129676386,,Unknown,-87.09877613959223 37.73472042841173,,,,,Numbered Thoroughfare Address,,,,3/14/2013 0:00:00,,,APARTMENT,,State of Kentucky,ssap508131_police.owensboro.org
58924590,,213,,213,,,,,Shady Hills,Street,,,Shady Hills Street,,,,,,,,,Garland,Hot Springs,Hot Springs National Park,,,HOT SPRINGS,,,,,,AR,71901,8246,{93159A9C-9EE4-4CEA-A153-DCFD720F6034},051,,-93.015358415590825,34.462589192662158,15SVU9858913448,,Unknown,-93.01535841559082 34.46258919266216,,,,,Numbered Thoroughfare Address,,,,2/12/2024 0:00:00,,,Residential,,Arkansas Geographic Information Office,
30542766,,3710,,3710,,,,,RHYNES GATE,Way,,,RHYNES GATE Way,,,302,,,,302,,Wake,RALEIGH,RALEIGH,,,,,,,,,NC,27606,,{8333AE21-467A-4734-BA7A-679BAAD6A344},,,-78.687422902918001,35.783378415043749,17SQV0901362389,,Unknown,-78.687422902918 35.78337841504375,,,,,Numbered Thoroughfare Address,,,,6/9/2021 0:00:00,,,Unknown,,State of North Carolina,urn:emergency:uid:gis:SSAP:{5208953}:wake.nc.us
77651840,,6906,,6906,,,,,RIVERTON,Drive,,,RIVERTON Drive,,,,,,,,,Williamson,Unincorporated,Austin,,,,,,,,,TX,78729,,{3C099DE1-1977-49C6-9997-48D84CADBA89},,,-97.751141755999981,30.445740946000058,14RPU1991268841,,Unknown,-97.75114175599998 30.445740946000058,,,,,Numbered Thoroughfare Address,,,,3/27/2021 0:00:00,,,Unknown,,State of Texas,{3c099de1-1977-49c6-9997-48d84cadba89}
10149604,,713,,713,,,,,ADAMS,Street,,,ADAMS Street,,,,,,,,,Will,BOLINGBROOK,BOLINGBROOK,,INCORPORATED,,,,,,,IL,60440,,{B52E77FA-D295-4186-9666-3F383286B7E7},Reserved for Future Use,,-88.097718777856485,41.693457115172357,16TDM0865316324,0,Unknown,-88.09771877785649 41.69345711517236 0,,,,,Numbered Thoroughfare Address,,11/16/2015 0:00:00,,9/21/2023 0:00:00,,,Unknown,,State of Illinois,{b52e77fa-d295-4186-9666-3f383286b7e7}
72224988,,6423,,6423,,,,,BUFORD,Street,,,BUFORD Street,,,,,,,,,Harris,Unincorporated,HOUSTON,,,,,,,,,TX,77023,,{1A5AA191-264C-4D52-9ACD-BB8A341D60B2},COH,,-95.308778012999937,29.707536714000071,15RTN7664288609,,Unknown,-95.30877801299994 29.70753671400007,,,,,Numbered Thoroughfare Address,,,,7/22/2024 0:00:00,,,Unknown,,State of Texas,{1a5aa191-264c-4d52-9acd-bb8a341d60b2}
67037096,,257,,257,,,,,LOWER RED ROCK,Road,,,LOWER RED ROCK Road,,,B,,,,B,,Bastrop,Unincorporated,BASTROP,,,,,,,,,TX,78602,,{283EA138-936A-446A-954F-133AB23F9F66},,,-97.363625502999980,30.068622164000033,14RPU5772627517,,Unknown,-97.36362550299998 30.068622164000033,,,,,Numbered Thoroughfare Address,,,,10/14/2022 0:00:00,,,Unknown,,State of Texas,{283ea138-936a-446a-954f-133ab23f9f66}
62690581,,6515,,6515,,Southeast,,,30TH,Street,,,Southeast 30TH Street,,,,,,,,,King,MERCER ISLAND,Not stated,,,,,,,,,WA,98040,,{1CA5E34F-3BC6-4F30-946D-C24B3BC12B6A},kingcounty.gov,,-122.248272781999958,47.584168881000039,10TET5652470357,0,Unknown,-122.24827278199996 47.58416888100004 0,,,,,Numbered Thoroughfare Address,,,,10/31/2023 9:25:45,,,Single Family,,State of Washington,urn:emergency:uid:gis:SSAP:419407:kingcounty.gov
10080378,,16056,,16056,,West,,,BENCK,Street,,,West BENCK Street,,,,,,,,,Will,MANHATTAN,MANHATTAN,,INCORPORATED,,,,,,,IL,60442,,{C2F72DF4-EF95-4F01-B92E-DD446611D484},Reserved for Future Use,,-88.003693638813800,41.443584947851477,16TDL1615588487,0,Unknown,-88.0036936388138 41.44358494785148 0,,,,,Numbered Thoroughfare Address,,11/17/2015 0:00:00,,9/22/2023 0:00:00,,,Unknown,,State of Illinois,{c2f72df4-ef95-4f01-b92e-dd446611d484}
67846207,,12818,,12818,,,,,FAIRVIEW FARMS,,,,FAIRVIEW FARMS,,,,,,,,,Bexar,Unincorporated,SAN ANTONIO,,,,,,,,,TX,,,{14BF201A-9179-4C70-B052-6A415E85FA76},Bexar Metro 911,,-98.618194903999949,29.564489185000070,14RNT3698470589,,Unknown,-98.61819490399995 29.56448918500007,,,,,Numbered Thoroughfare Address,,,,1/11/2024 0:00:00,,,Unknown,,State of Texas,{14bf201a-9179-4c70-b052-6a415e85fa76}
74788139,,30201,,30201,,,,,SECRET RIVER,Court,,,SECRET RIVER Court,,,,,,,,,Montgomery,Unincorporated,MAGNOLIA,,,,,,,,,TX,77354,,{20669F25-EE19-402D-B261-9A169ED097E3},MONTGOMERY 911,,-95.632566590999943,30.186737687000061,15RTP4652742406,,Unknown,-95.63256659099994 30.18673768700006,,,,,Numbered Thoroughfare Address,,,,5/22/2023 0:00:00,,,Unknown,,State of Texas,{20669f25-ee19-402d-b261-9a169ed097e3}
74208782,,103,,103,,,,,PINNICLE CT,,,,PINNICLE CT,,,,,,,,,McLennan,Unincorporated,Not stated,,,,,,,,,TX,76712,,{882B9FC8-0AF4-4B53-BB5E-D0DF7CFA8A6E},McLennan Co Emergency Assitance Dist,,-97.259125054999970,31.486223922000079,14RPV6535684802,,Unknown,-97.25912505499997 31.48622392200008,,,,,Numbered Thoroughfare Address,,,,1/31/2024 0:00:00,,,Unknown,,State of Texas,{882b9fc8-0af4-4b53-bb5e-d0df7cfa8a6e}
87780907,,26340,,26340,,,Highway,,82,,,,Highway 82,,,,,,,,,Cherokee,UNINCORPORATED,PARK HILL,,CHEROKEE COUNTY,,,,,,,OK,74451,,{E7621AB0-B167-4822-99A1-EA97C7F06489},psap.5604.ok.gov,psap.5604.ok.gov,-94.957715159999964,35.794212030000040,15SUV2308762892,,Unknown,-94.95771515999996 35.79421203000004,,,,,Numbered Thoroughfare Address,,,,12/1/2021 0:00:00,,,Unknown,,State of Oklahoma,{e7621ab0-b167-4822-99a1-ea97c7f06489}
5277841,,3930,,3930,,,,,GOODNIGHT,Avenue,,,GOODNIGHT Avenue,,,,,,,,,Pueblo,PUEBLO,Not stated,,,,,,,,,CO,81005,,{082C3B8C-AEF6-40E9-A5B3-B17129DFF2E8},,,-104.666282929562001,38.263547193265097,13SEC2919435109,,Unknown,-104.666282929562 38.2635471932651,,,,,Numbered Thoroughfare Address,,,,7/1/2021 0:00:00,,,Unknown,,Colorado OIT GIS,1922633
6279601,,138,,138,,,,,Joy,Road,,,Joy Road,,,,,,,,,New Haven,Waterbury,Not stated,,WATERBURY,,,,,,,CT,06708,,{6DDE1C15-60D8-49E7-8956-06BFC8755D75},State of Connecticut Department of Emergency Services and Public Protection,,-73.069532204118104,41.555907747665501,18TXM6098702270,,Structure - Rooftop,-73.0695322041181 41.5559077476655,,,,,Numbered Thoroughfare Address,,,,3/4/2022 0:00:00,,,Unknown,,State of Connecticut,763036
8359546,,904,,904,,,,,5TH,Avenue,Northeast,,5TH Avenue Northeast,,,,,,,,,Wright,Belmond,BELMOND,,,,,,,,,IA,,,{27691E0D-E715-4DF6-BA9A-7820B67977B2},wright-county-comm.state.ia.us,,-93.610023420999937,42.853583734000040,15TVH5016044736,0,Unknown,-93.61002342099994 42.85358373400004 0,,,,,Numbered Thoroughfare Address,,2/1/2016 0:00:00,,5/15/2023 15:21:57,,,Unknown,,State of Iowa,SSAP_000156@wright.ia.us
31169433,,89,,89,,,,,DAYBREAK,Way,,,DAYBREAK Way,,,,,,,,,Harnett,Unincorporated,FUQUAY VARINA,,,,,,,,,NC,27526,,{2AEA5303-31C0-4D06-B847-E0A6BB9CC741},,,-78.835207756294025,35.544191022422027,17SPV9623935550,,Unknown,-78.83520775629403 35.54419102242203,,,,,Numbered Thoroughfare Address,,,,9/6/2024 16:01:43,,,Unknown,,State of North Carolina,SSAP_1085375@hrntncso1.harnett.nc.us
30202550,,214,,214,,,,,CARLTON HOWELL,Drive,,,CARLTON HOWELL Drive,,,,,,,,,Alexander,Unincorporated,TAYLORSVILLE,,TAYLORSVILLE,,,,,,,NC,28681,,{4DC2F6DC-8CEF-4501-91DB-28E4E1C3AE2B},,,-81.201911274553794,35.941166187535785,17SMV8178877441,,Unknown,-81.2019112745538 35.941166187535785,,,,,Numbered Thoroughfare Address,,,,10/3/2019 0:00:00,,,Unknown,,State of North Carolina,urn:emergency:uid:gis:ssap9129:alexander.nc.us
38789922,,3706,1,3706 1,,,,,GOLD,Street,,,GOLD Street,,,,,,,,,Los Alamos,Unincorporated,LOS ALAMOS,Los Alamos CDP,LOS ALAMOS,,,,,,,NM,87544,,{E1A1D51A-1F5E-4973-AE73-FB4B47EC3D42},Los Alamos County,,-106.315272591506940,35.883569149938062,13SCV8128071833,,Unknown,-106.31527259150694 35.88356914993806,,,,,Numbered Thoroughfare Address,,7/1/2024 0:00:00,,7/24/2024 0:00:00,N,,Unknown,,University of New Mexico EDAC,{e1a1d51a-1f5e-4973-ae73-fb4b47ec3d42}
51150696,,1000,,1000,,East,,,CANAL,Street,,,East CANAL Street,,,F5,,,,F5,,Athens,NELSONVILLE,NELSONVILLE,,NELSONVILLE,,,,,,Village,OH,45764,,{C632F9AB-EB9F-402B-A240-0B5186587F2C},0,,-82.221654975056921,39.449675633520400,17SLD9488667391,,Unknown,-82.22165497505692 39.4496756335204,,,,,Numbered Thoroughfare Address,,,,6/3/2010 0:00:00,,,Apartment,,State of Ohio,{c632f9ab-eb9f-402b-a240-0b5186587f2c}
15681110,,109,,109,,,,,3rd,Street,,,3rd Street,,,,,,Residential,Residential,,Shelby,Unincorporated,SHELBYVILLE,,,,,,,,,IN,46176,,{B482A546-BBCE-4DDD-8D86-5B8395348D89},Shelby County,,-85.777011999999957,39.514370000000042,16SFJ0513174573,,Unknown,-85.77701199999996 39.51437000000004,,,,731105300331000002,Numbered Thoroughfare Address,,,,4/23/2025 0:00:00,,,RESIDENTIAL 1 FAMILY ON A PLATTED LOT,,Indiana Geographic Information Council,urn:emergency:uid:gis:SSAP:0003839:co.shelby.in.us
83505246,,622,,622,,,,,Aberdeen,Avenue,,,Aberdeen Avenue,,,49,,,,49,,Scott,Unincorporated,Not stated,,,,,,,,,MN,55352,,{CC8C22F3-8529-4BB4-895F-9D62372EB0E4},Jordan,,-93.645889055490400,44.657772636574443,15TVK4879145137,,Unknown,-93.6458890554904 44.65777263657444,,,,27139-220870010,Numbered Thoroughfare Address,Active,6/19/2020 0:00:00,,9/11/2023 0:00:00,,,Unknown,,Geospatial Information Office Minnesota,CC8C22F3-8529-4BB4-895F-9D62372EB0E4
35878399,,3,,3,,,,,Severn,Court,,,Severn Court,,,,,,,,,Burlington,"Burlington, Medford Township",Medford,,,,,,,,,NJ,08055,3203,{C9772F13-AE59-4A02-9B64-2B64C1A74CEB},NJ Office of GIS,,-74.783721786680303,39.837683558704597,18SWK1850509764,,Structure - Rooftop,-74.7837217866803 39.8376835587046,,,,4b0346af-b17d-4041-a734-bfc782afff4f,Numbered Thoroughfare Address,,,,1/13/2022 7:15:25,,,Residence,,State of New Jersey,7fed6cd2-e8c2-4a4a-946f-c173848e4b45
30006649,,415,,415,,,,,LINWOOD POND,Road,,,LINWOOD POND Road,,,,,,,,,Henderson,Unincorporated,HENDERSONVILLE,,,,,,,,,NC,28739,,{3D112BA2-0F90-4806-A9BF-C47CE5AA01A8},,,-82.584402376228510,35.246023345630789,17SLV5584801477,,Unknown,-82.58440237622851 35.24602334563079,,,,,Numbered Thoroughfare Address,,,,1/25/2023 0:00:00,,,Unknown,,State of North Carolina,urn:emergency:uid:gis:ssap:40424:henderson.nc.us
25329911,,729,,729,,,,,Fingerboard Schoolhouse,Road,,,Fingerboard Schoolhouse Road,,,,,,,,,Cecil,Unincorporated,Earleville,,,,,,,,,MD,21919,,{7DE6EBB8-EB8B-4B29-BF3D-7E7EC2E1EABF},,,-75.924683507541715,39.455103029721435,18SVJ2044467689,,Unknown,-75.92468350754172 39.455103029721435,,,,,Numbered Thoroughfare Address,,,,2/14/2024 0:00:00,,,Unknown,,Maryland Department of Information Technology,1646917
35673082,,31,,31,,,,,Augusta,Drive,,,Augusta Drive,,,,,,,,,Burlington,"Burlington, Westampton Township",Westampton,,,,,,,,,NJ,08060,4719,{4C2AA253-ECAA-44EE-897C-7D7DD2D7AAE9},NJ Office of GIS,,-74.796330918220704,40.015990175537603,18TWK1738129551,,Structure - Rooftop,-74.7963309182207 40.0159901755376,,,,ad0a72f4-75c8-4e90-8797-37788065c569,Numbered Thoroughfare Address,,,,1/11/2022 17:51:15,,,Residence,,State of New Jersey,6bf74063-1c5b-4d65-b227-9f5991662114
82167092,,3656,,3656,,,Highway,,N,,,,Highway N,,,,,,,,,Osage,Unincorporated,MORRISON,,,,,,,,,MO,65061,,{0248B0E8-BDA3-4E99-9293-97CDC197EDD1},Osage County,,-91.671331196712899,38.529308278456512,15SXC1581265382,,Structure - Interior,-91.6713311967129 38.52930827845651,,,,,Numbered Thoroughfare Address,,,,2/2/2022 0:00:00,,,Unknown,,Osage County Missouri,{0248B0E8-BDA3-4E99-9293-97CDC197EDD1}
